price,latitude,longitude,bedrooms,bathrooms,land_size,building_size,carports,maid_bedrooms,maid_bathrooms,floors,building_age,property_condition,garages,furnishing
1450000000.0,-6.1817523,106.9736839,2.0,2.0,144.0,110.0,1.0,1.0,0.0,1.0,0.0,1,0.0,0
1600000000.0,-6.1817523,106.9736839,3.0,2.0,160.0,260.0,0.0,0.0,0.0,2.0,0.0,1,0.0,1
3000000000.0,-6.1817523,106.9736839,4.0,5.0,160.0,280.0,0.0,1.0,1.0,2.0,0.0,1,0.0,1
3000000000.0,-6.1817523,106.9736839,4.0,5.0,160.0,280.0,0.0,1.0,1.0,2.0,0.0,1,0.0,1
1800000000.0,-6.1817523,106.9736839,3.0,2.0,144.0,120.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1
2700000000.0,-6.1817523,106.9736839,3.0,3.0,270.0,175.0,2.0,1.0,1.0,2.0,0.0,1,0.0,0
970000000.0,-6.1817523,106.9736839,3.0,2.0,53.0,63.0,1.0,0.0,0.0,2.0,0.0,2,0.0,1
575000000.0,-6.2845395,106.973377,2.0,1.0,60.0,55.0,1.0,0.0,0.0,2.0,0.0,2,1.0,0
900000000.0,-6.2845395,106.973377,3.0,2.0,72.0,69.0,1.0,0.0,0.0,2.0,2.0,1,1.0,1
1250000000.0,-6.2845395,106.973377,3.0,3.0,60.0,110.0,2.0,0.0,0.0,3.0,0.0,2,0.0,1
525000000.0,-6.2845395,106.973377,3.0,1.0,72.0,42.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
510000000.0,-6.2845395,106.973377,2.0,1.0,70.0,38.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
895000000.0,-6.2845395,106.973377,2.0,2.0,92.0,120.0,1.0,0.0,0.0,2.0,7.0,1,0.0,0
2500000000.0,-6.2845395,106.973377,4.0,3.0,135.0,110.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1
1650000000.0,-6.2845395,106.973377,4.0,3.0,165.0,180.0,2.0,0.0,1.0,2.0,7.0,2,2.0,1
